id	name	description	is_bodyweight	multiplier	volume_multiplier
crunches	Crunches	Lie on your back with knees bent and feet planted. Exhale as you lift your shoulders and ribcage toward your pelvis. Lower slowly back down, keeping tension in your core. Maintain a neutral spine, steady breathing, and controlled movement throughout.	true	1.0	1.0
sit_ups	Sit Ups	Lie on your back with knees bent and feet planted. Exhale as you lift your shoulders and ribcage toward your pelvis. Lower slowly back down, keeping tension in your core. Maintain a neutral spine, steady breathing, and controlled movement throughout.	true	1.0	1.0
muscle_ups	Muscle Ups	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	true	1.0	1.0
seated_dumbbell_shoulder_press	Seated Dumbbell Shoulder Press	Set your grip securely and brace your core for the press. Press the weight smoothly while keeping your torso stable and avoiding arching. Return under control to the starting position. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
bodyweight_squat	Bodyweight Squat	Stand with your feet shoulder-width apart and brace your core. Lower into a squat by bending hips and knees, keeping your chest upright. Push through your heels to return to standing, squeezing your glutes at the top. Maintain a neutral spine, steady breathing, and controlled movement throughout.	true	1.0	1.0
hack_squat	Hack Squat	Stand with your feet shoulder-width apart and brace your core. Lower into a squat by bending hips and knees, keeping your chest upright. Push through your heels to return to standing, squeezing your glutes at the top. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
clean_and_jerk	Clean and Jerk	Stand with your mid-foot under the bar and hinge at the hips with a flat back. Drive through your legs and hips to lift the weight while keeping it close to your body. Stand tall at the top, then lower under control to the floor. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
machine_shoulder_press	Machine Shoulder Press	Set your grip securely and brace your core for the press. Press the weight smoothly while keeping your torso stable and avoiding arching. Return under control to the starting position. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
one_arm_push_ups	One Arm Push Ups	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	true	1.0	1.0
machine_chest_fly	Machine Chest Fly	Stand or lie in position with arms extended slightly bent. Lift or open your arms in a wide arc until you feel tension in the target muscles. Return slowly to the starting position without swinging. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
dumbbell_bulgarian_split_squat	Dumbbell Bulgarian Split Squat	Stand with your feet shoulder-width apart and brace your core. Lower into a squat by bending hips and knees, keeping your chest upright. Push through your heels to return to standing, squeezing your glutes at the top. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
snatch	Snatch	Stand with your mid-foot under the bar and hinge at the hips with a flat back. Drive through your legs and hips to lift the weight while keeping it close to your body. Stand tall at the top, then lower under control to the floor. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
lying_tricep_extension	Lying Tricep Extension	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
seated_leg_curl	Seated Leg Curl	Stand tall with elbows close to your sides and shoulders relaxed. Curl the weight upward by bending your elbows while keeping upper arms still. Lower slowly until your arms are fully extended. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
ez_bar_curl	EZ Bar Curl	Stand tall with elbows close to your sides and shoulders relaxed. Curl the weight upward by bending your elbows while keeping upper arms still. Lower slowly until your arms are fully extended. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
close_grip_bench_press	Close Grip Bench Press	Set your grip securely and brace your core for the press. Press the weight smoothly while keeping your torso stable and avoiding arching. Return under control to the starting position. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
preacher_curl	Preacher Curl	Stand tall with elbows close to your sides and shoulders relaxed. Curl the weight upward by bending your elbows while keeping upper arms still. Lower slowly until your arms are fully extended. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
seated_shoulder_press	Seated Shoulder Press	Set your grip securely and brace your core for the press. Press the weight smoothly while keeping your torso stable and avoiding arching. Return under control to the starting position. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
goblet_squat	Goblet Squat	Stand with your feet shoulder-width apart and brace your core. Lower into a squat by bending hips and knees, keeping your chest upright. Push through your heels to return to standing, squeezing your glutes at the top. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
barbell_shrug	Barbell Shrug	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
clean	Clean	Stand with your mid-foot under the bar and hinge at the hips with a flat back. Drive through your legs and hips to lift the weight while keeping it close to your body. Stand tall at the top, then lower under control to the floor. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
t_bar_row	T Bar Row	Set a firm grip and hinge slightly at the hips with chest up. Pull the weight toward your torso, squeezing your shoulder blades together. Return the weight under control to full extension. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
neutral_grip_pull_ups	Neutral Grip Pull Ups	Stand with your mid-foot under the bar and hinge at the hips with a flat back. Drive through your legs and hips to lift the weight while keeping it close to your body. Stand tall at the top, then lower under control to the floor. Maintain a neutral spine, steady breathing, and controlled movement throughout.	true	1.0	1.0
lying_leg_curl	Lying Leg Curl	Stand tall with elbows close to your sides and shoulders relaxed. Curl the weight upward by bending your elbows while keeping upper arms still. Lower slowly until your arms are fully extended. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
diamond_push_ups	Diamond Push Ups	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	true	1.0	1.0
machine_calf_raise	Machine Calf Raise	Stand or lie in position with arms extended slightly bent. Lift or open your arms in a wide arc until you feel tension in the target muscles. Return slowly to the starting position without swinging. Maintain a neutral spine, steady breathing, and controlled movement throughout.	true	1.0	1.0
push_press	Push Press	Set your grip securely and brace your core for the press. Press the weight smoothly while keeping your torso stable and avoiding arching. Return under control to the starting position. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
dumbbell_fly	Dumbbell Fly	Stand or lie in position with arms extended slightly bent. Lift or open your arms in a wide arc until you feel tension in the target muscles. Return slowly to the starting position without swinging. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
hip_adduction	Hip Adduction	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
decline_bench_press	Decline Bench Press	Set your grip securely and brace your core for the press. Press the weight smoothly while keeping your torso stable and avoiding arching. Return under control to the starting position. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
dumbbell_shrug	Dumbbell Shrug	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
smith_machine_bench_press	Smith Machine Bench Press	Set your grip securely and brace your core for the press. Press the weight smoothly while keeping your torso stable and avoiding arching. Return under control to the starting position. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
dumbbell_lunge	Dumbbell Lunge	Stand tall and step one foot forward into a long stance. Bend both knees to lower your hips straight down until your back knee nearly touches the floor. Drive through the front heel to return to standing. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
pistol_squat	Pistol Squat	Stand with your feet shoulder-width apart and brace your core. Lower into a squat by bending hips and knees, keeping your chest upright. Push through your heels to return to standing, squeezing your glutes at the top. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
hanging_leg_raise	Hanging Leg Raise	Stand or lie in position with arms extended slightly bent. Lift or open your arms in a wide arc until you feel tension in the target muscles. Return slowly to the starting position without swinging. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
tricep_rope_pushdown	Tricep Rope Pushdown	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
machine_row	Machine Row	Set a firm grip and hinge slightly at the hips with chest up. Pull the weight toward your torso, squeezing your shoulder blades together. Return the weight under control to full extension. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
chest_supported_dumbbell_row	Chest Supported Dumbbell Row	Set a firm grip and hinge slightly at the hips with chest up. Pull the weight toward your torso, squeezing your shoulder blades together. Return the weight under control to full extension. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
clean_and_press	Clean and Press	Set your grip securely and brace your core for the press. Press the weight smoothly while keeping your torso stable and avoiding arching. Return under control to the starting position. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
dumbbell_romanian_deadlift	Dumbbell Romanian Deadlift	Stand with your mid-foot under the bar and hinge at the hips with a flat back. Drive through your legs and hips to lift the weight while keeping it close to your body. Stand tall at the top, then lower under control to the floor. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
rack_pull	Rack Pull	Stand with your mid-foot under the bar and hinge at the hips with a flat back. Drive through your legs and hips to lift the weight while keeping it close to your body. Stand tall at the top, then lower under control to the floor. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
bulgarian_split_squat	Bulgarian Split Squat	Stand with your feet shoulder-width apart and brace your core. Lower into a squat by bending hips and knees, keeping your chest upright. Push through your heels to return to standing, squeezing your glutes at the top. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
smith_machine_squat	Smith Machine Squat	Stand with your feet shoulder-width apart and brace your core. Lower into a squat by bending hips and knees, keeping your chest upright. Push through your heels to return to standing, squeezing your glutes at the top. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
pendlay_row	Pendlay Row	Set a firm grip and hinge slightly at the hips with chest up. Pull the weight toward your torso, squeezing your shoulder blades together. Return the weight under control to full extension. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
dumbbell_tricep_extension	Dumbbell Tricep Extension	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
box_squat	Box Squat	Stand with your feet shoulder-width apart and brace your core. Lower into a squat by bending hips and knees, keeping your chest upright. Push through your heels to return to standing, squeezing your glutes at the top. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
cable_bicep_curl	Cable Bicep Curl	Stand tall with elbows close to your sides and shoulders relaxed. Curl the weight upward by bending your elbows while keeping upper arms still. Lower slowly until your arms are fully extended. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
seated_calf_raise	Seated Calf Raise	Stand or lie in position with arms extended slightly bent. Lift or open your arms in a wide arc until you feel tension in the target muscles. Return slowly to the starting position without swinging. Maintain a neutral spine, steady breathing, and controlled movement throughout.	true	1.0	1.0
incline_dumbbell_curl	Incline Dumbbell Curl	Stand tall with elbows close to your sides and shoulders relaxed. Curl the weight upward by bending your elbows while keeping upper arms still. Lower slowly until your arms are fully extended. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
close_grip_lat_pulldown	Close Grip Lat Pulldown	Set a firm grip and hinge slightly at the hips with chest up. Pull the weight toward your torso, squeezing your shoulder blades together. Return the weight under control to full extension. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
upright_row	Upright Row	Set a firm grip and hinge slightly at the hips with chest up. Pull the weight toward your torso, squeezing your shoulder blades together. Return the weight under control to full extension. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
vertical_leg_press	Vertical Leg Press	Set your grip securely and brace your core for the press. Press the weight smoothly while keeping your torso stable and avoiding arching. Return under control to the starting position. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
machine_seated_crunch	Machine Seated Crunch	Lie on your back with knees bent and feet planted. Exhale as you lift your shoulders and ribcage toward your pelvis. Lower slowly back down, keeping tension in your core. Maintain a neutral spine, steady breathing, and controlled movement throughout.	true	1.0	1.0
machine_bicep_curl	Machine Bicep Curl	Stand tall with elbows close to your sides and shoulders relaxed. Curl the weight upward by bending your elbows while keeping upper arms still. Lower slowly until your arms are fully extended. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
arnold_press	Arnold Press	Set your grip securely and brace your core for the press. Press the weight smoothly while keeping your torso stable and avoiding arching. Return under control to the starting position. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
zercher_squat	Zercher Squat	Stand with your feet shoulder-width apart and brace your core. Lower into a squat by bending hips and knees, keeping your chest upright. Push through your heels to return to standing, squeezing your glutes at the top. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
cable_lateral_raise	Cable Lateral Raise	Stand or lie in position with arms extended slightly bent. Lift or open your arms in a wide arc until you feel tension in the target muscles. Return slowly to the starting position without swinging. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
incline_dumbbell_fly	Incline Dumbbell Fly	Stand or lie in position with arms extended slightly bent. Lift or open your arms in a wide arc until you feel tension in the target muscles. Return slowly to the starting position without swinging. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
stiff_leg_deadlift	Stiff Leg Deadlift	Stand with your mid-foot under the bar and hinge at the hips with a flat back. Drive through your legs and hips to lift the weight while keeping it close to your body. Stand tall at the top, then lower under control to the floor. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
dumbbell_reverse_fly	Dumbbell Reverse Fly	Stand or lie in position with arms extended slightly bent. Lift or open your arms in a wide arc until you feel tension in the target muscles. Return slowly to the starting position without swinging. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
hang_clean	Hang Clean	Stand with your mid-foot under the bar and hinge at the hips with a flat back. Drive through your legs and hips to lift the weight while keeping it close to your body. Stand tall at the top, then lower under control to the floor. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
dumbbell_concentration_curl	Dumbbell Concentration Curl	Stand tall with elbows close to your sides and shoulders relaxed. Curl the weight upward by bending your elbows while keeping upper arms still. Lower slowly until your arms are fully extended. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
decline_push_up	Decline Push Up	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	true	1.0	1.0
cable_crunch	Cable Crunch	Lie on your back with knees bent and feet planted. Exhale as you lift your shoulders and ribcage toward your pelvis. Lower slowly back down, keeping tension in your core. Maintain a neutral spine, steady breathing, and controlled movement throughout.	true	1.0	1.0
dumbbell_front_raise	Dumbbell Front Raise	Stand or lie in position with arms extended slightly bent. Lift or open your arms in a wide arc until you feel tension in the target muscles. Return slowly to the starting position without swinging. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
back_extension	Back Extension	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
good_morning	Good Morning	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
tricep_extension	Tricep Extension	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
one_arm_pull_ups	One Arm Pull Ups	Stand with your mid-foot under the bar and hinge at the hips with a flat back. Drive through your legs and hips to lift the weight while keeping it close to your body. Stand tall at the top, then lower under control to the floor. Maintain a neutral spine, steady breathing, and controlled movement throughout.	true	1.0	1.0
seated_dip_machine	Seated Dip Machine	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	true	1.0	1.0
floor_press	Floor Press	Set your grip securely and brace your core for the press. Press the weight smoothly while keeping your torso stable and avoiding arching. Return under control to the starting position. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
dumbbell_pullover	Dumbbell Pullover	Stand with your mid-foot under the bar and hinge at the hips with a flat back. Drive through your legs and hips to lift the weight while keeping it close to your body. Stand tall at the top, then lower under control to the floor. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
lunge	Lunge	Stand tall and step one foot forward into a long stance. Bend both knees to lower your hips straight down until your back knee nearly touches the floor. Drive through the front heel to return to standing. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
cable_fly	Cable Fly	Stand or lie in position with arms extended slightly bent. Lift or open your arms in a wide arc until you feel tension in the target muscles. Return slowly to the starting position without swinging. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
hip_abduction	Hip Abduction	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
single_leg_squat	Single Leg Squat	Stand with your feet shoulder-width apart and brace your core. Lower into a squat by bending hips and knees, keeping your chest upright. Push through your heels to return to standing, squeezing your glutes at the top. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
dumbbell_floor_press	Dumbbell Floor Press	Set your grip securely and brace your core for the press. Press the weight smoothly while keeping your torso stable and avoiding arching. Return under control to the starting position. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
barbell_lunge	Barbell Lunge	Stand tall and step one foot forward into a long stance. Bend both knees to lower your hips straight down until your back knee nearly touches the floor. Drive through the front heel to return to standing. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
handstand_push_ups	Handstand Push Ups	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	true	1.0	1.0
thruster	Thruster	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	false	1.0	1.0
burpees	Burpees	Set up in a stable position with your core engaged. Perform the movement in a controlled motion, focusing on the target muscles. Return to the start position with balance and control. Maintain a neutral spine, steady breathing, and controlled movement throughout.	true	1.0	1.0
